,8-OHdG,Asthma,Atopic Dermatitis,C-Reactive Protein,Heart Rate Variability Measurement,Immunoglobulin E,Interleukin-13,Interleukin-6,PM2.5,Physical Activity Level,Psoriasis,Relative Humidity,Sleep Quality Assessment,SpO2 Measurement,TNF-alpha,Volatile Organic Compound
8-OHdG,,,,,,,,,,,,,,,,
Asthma,,,,,,,,,,,,,,,,
Atopic Dermatitis,,,,,,,,,,,,,,,,
C-Reactive Protein,,,,,,,,,,,,,,,,
Heart Rate Variability Measurement,,,,,,,,-0.42,,,,,,,,
Immunoglobulin E,,0.55,,,,,,,,,,,,,,
Interleukin-13,,,0.58,,,,,,,,,,,,,
Interleukin-6,,,,,,,,,,,,,,,,
PM2.5,0.48,,,0.38,-0.42,,,0.1764,,,,,,-0.25,0.45,
Physical Activity Level,,,,,,,,,,,,,,,0.28,
Psoriasis,,,,,,,,,,,,,,,,
Relative Humidity,,,,,,,0.3,,,,,,,,,
Sleep Quality Assessment,,,,0.38,,,,,,,,,,,,
SpO2 Measurement,,,,,,,,,,,,,,,,
TNF-alpha,,,,,,,,,,,0.5,,,,,
Volatile Organic Compound,,,,-0.1216,,0.35,,,,,,,-0.32,,,
